imageName,x1,y1,x2,y2,label
ucfAction/Riding-Horse/010/RF1-12001_70090.jpg,454,7,162,314,Running
ucfAction/Riding-Horse/010/RF1-12001_70096.jpg,439,17,170,299,Running
ucfAction/Riding-Horse/010/RF1-12001_70119.jpg,273,31,194,331,Running
ucfAction/Riding-Horse/010/RF1-12001_70075.jpg,443,4,160,301,Running
ucfAction/Riding-Horse/010/RF1-12001_70077.jpg,451,3,164,307,Running
ucfAction/Riding-Horse/010/RF1-12001_70070.jpg,448,5,154,330,Running
ucfAction/Riding-Horse/010/RF1-12001_70121.jpg,266,25,195,325,Running
ucfAction/Riding-Horse/010/RF1-12001_70100.jpg,436,35,175,314,Running
ucfAction/Riding-Horse/010/RF1-12001_70080.jpg,446,5,172,319,Running
ucfAction/Riding-Horse/010/RF1-12001_70066.jpg,434,11,156,328,Running
ucfAction/Riding-Horse/010/RF1-12001_70118.jpg,280,32,203,318,Running
ucfAction/Riding-Horse/010/RF1-12001_70112.jpg,318,25,202,301,Running
ucfAction/Riding-Horse/010/RF1-12001_70103.jpg,423,30,170,314,Running
ucfAction/Riding-Horse/010/RF1-12001_70102.jpg,435,33,164,318,Running
ucfAction/Riding-Horse/010/RF1-12001_70063.jpg,447,6,150,304,Running
ucfAction/Riding-Horse/010/RF1-12001_70072.jpg,449,4,144,320,Running
ucfAction/Riding-Horse/010/RF1-12001_70099.jpg,462,36,159,302,Running
ucfAction/Riding-Horse/010/RF1-12001_70117.jpg,289,37,203,312,Running
ucfAction/Riding-Horse/010/RF1-12001_70095.jpg,440,6,171,303,Running
ucfAction/Riding-Horse/010/RF1-12001_70086.jpg,457,18,147,324,Running
ucfAction/Riding-Horse/010/RF1-12001_70122.jpg,254,22,217,324,Running
ucfAction/Riding-Horse/010/RF1-12001_70085.jpg,454,18,160,324,Running
ucfAction/Riding-Horse/010/RF1-12001_70076.jpg,441,4,148,306,Running
ucfAction/Riding-Horse/010/RF1-12001_70092.jpg,453,6,154,308,Running
ucfAction/Riding-Horse/010/RF1-12001_70074.jpg,451,3,151,309,Running
ucfAction/Riding-Horse/010/RF1-12001_70107.jpg,378,23,181,314,Running
ucfAction/Riding-Horse/010/RF1-12001_70083.jpg,448,17,184,324,Running
ucfAction/Riding-Horse/010/RF1-12001_70097.jpg,449,18,170,303,Running
ucfAction/Riding-Horse/010/RF1-12001_70071.jpg,450,2,146,337,Running
ucfAction/Riding-Horse/010/RF1-12001_70109.jpg,347,21,192,303,Running
ucfAction/Riding-Horse/010/RF1-12001_70120.jpg,272,32,190,318,Running
ucfAction/Riding-Horse/010/RF1-12001_70079.jpg,452,1,166,321,Running
ucfAction/Riding-Horse/010/RF1-12001_70069.jpg,443,13,150,319,Running
ucfAction/Riding-Horse/010/RF1-12001_70091.jpg,455,2,152,320,Running
ucfAction/Riding-Horse/010/RF1-12001_70110.jpg,337,23,194,302,Running
ucfAction/Riding-Horse/010/RF1-12001_70115.jpg,324,40,182,313,Running
ucfAction/Riding-Horse/010/RF1-12001_70114.jpg,311,37,192,301,Running
ucfAction/Riding-Horse/010/RF1-12001_70108.jpg,358,22,189,305,Running
ucfAction/Riding-Horse/010/RF1-12001_70101.jpg,431,34,178,316,Running
ucfAction/Riding-Horse/010/RF1-12001_70089.jpg,455,14,151,321,Running
ucfAction/Riding-Horse/010/RF1-12001_70113.jpg,311,24,195,305,Running
ucfAction/Riding-Horse/010/RF1-12001_70084.jpg,447,17,172,325,Running
ucfAction/Riding-Horse/010/RF1-12001_70078.jpg,454,4,161,301,Running
ucfAction/Riding-Horse/010/RF1-12001_70104.jpg,409,28,176,314,Running
ucfAction/Riding-Horse/010/RF1-12001_70064.jpg,432,5,160,317,Running
ucfAction/Riding-Horse/010/RF1-12001_70073.jpg,446,3,145,320,Running
